UniProt_ID	CAZy_family	InterPro_IDs	Protein_Name	Organism	EC_Number	Signal_End	Transmembrane_Regions	LPMO_Core_Start	LPMO_Core_End	Domain_Provenance	Binding_Modules	H1_Verified	H1_AminoAcid	Match_Status	Sequence_Group	CoAccessions	Cat_Seq_Group	Cat_CoAccessions
Q8WZQ2	AA9	IPR005103; IPR049892; cd21175	lytic cellulose monooxygenase (C4-dehydrogenating)	Neurospora crassa	1.14.99.56	0	None	16	236	CDD:cd21175	None	True	H	Success_Characterized	Q1K8B6	Q1K8B6	Q1K8B6	Q1K8B6
A0A223GEC9	AA9	IPR005103; IPR049892; cd21175	AA9 family lytic polysaccharide monooxygenase A	Collariella virescens	1.14.99.54 1.14.99.56	22	None	23	244	CDD:cd21175	None	True	H	Success_Characterized	A0A223GEC9		A0A223GEC9	
B2ARG6	AA9	IPR005103; IPR049892; cd21175	AA9 family lytic polysaccharide monooxygenase D	Podospora anserina (strain S / ATCC MYA-4624 / DSM 980 / FGSC 10383)	1.14.99.54	21	None	22	247	CDD:cd21175	None	True	H	Success_Characterized	B2ARG6		B2ARG6	
Q7SHD9	AA9	IPR000254; IPR005103; IPR035971; IPR049892; PF00734; cd21175	AA9 family lytic polysaccharide monooxygenase J	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	1.14.99.54	20	None	21	241	CDD:cd21175	Fungal cellulose binding domain [PFAM:PF00734] (308-336)	True	H	Success_Characterized	Q7SHD9	Q6MGH2	Q7SHD9	Q6MGH2
Q6MGH2	AA9	IPR000254; IPR005103; IPR035971; IPR049892; PF00734; cd21175	lytic cellulose monooxygenase (C4-dehydrogenating)	Neurospora crassa	1.14.99.54	20	None	21	241	CDD:cd21175	Fungal cellulose binding domain [PFAM:PF00734] (308-336)	True	H	Success_Characterized	Q7SHD9	Q7SHD9	Q7SHD9	Q7SHD9
B2B629	AA9	IPR000254; IPR005103; IPR035971; IPR049892; PF00734; cd21175	AA9 family lytic polysaccharide monooxygenase A	Podospora anserina (strain S / ATCC MYA-4624 / DSM 980 / FGSC 10383)	1.14.99.54 1.14.99.56	20	None	21	244	CDD:cd21175	Fungal cellulose binding domain [PFAM:PF00734] (319-347)	True	H	Success_Characterized	B2B629		B2B629	
Q1K4Q1	AA9	IPR005103; IPR049892; cd21175	AA9 family lytic polysaccharide monooxygenase F	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	1.14.99.54	17	None	18	229	CDD:cd21175	None	True	H	Success_Characterized	Q1K4Q1	Q873G1	Q1K4Q1	Q873G1
Q873G1	AA9	IPR005103; IPR049892; cd21175	lytic cellulose monooxygenase (C4-dehydrogenating)	Neurospora crassa	1.14.99.54	0	None	18	229	CDD:cd21175	None	True	H	Success_Characterized	Q1K4Q1	Q1K4Q1	Q1K4Q1	Q1K4Q1
Q7RWN7	AA9	IPR000254; IPR005103; IPR035971; IPR049892; PF00734; cd21175	AA9 family lytic polysaccharide monooxygenase E	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	1.14.99.54	20	None	21	241	CDD:cd21175	Fungal cellulose binding domain [PFAM:PF00734] (297-325)	True	H	Success_Characterized	Q7RWN7		Q7RWN7	
S7RK00	AA9	IPR005103; IPR049892; cd21175	AA9 family lytic polysaccharide monooxygenase B	Gloeophyllum trabeum (strain ATCC 11539 / FP-39264 / Madison 617)	1.14.99.54 1.14.99.56	20	None	21	249	CDD:cd21175	None	True	H	Success_Characterized	S7RK00		S7RK00	
A0A6C0M6J9	AA9	IPR005103; IPR049892; cd21175	AA9 family lytic polysaccharide monooxygenase A	Penicillium parvum	1.14.99.54 1.14.99.56	21	None	22	247	CDD:cd21175	None	True	H	Success_Characterized	A0A6C0M6J9		A0A6C0M6J9	
B2ADG1	AA9	IPR000254; IPR005103; IPR035971; IPR049892; PF00734; cd21175	AA9 family lytic polysaccharide monooxygenase H	Podospora anserina (strain S / ATCC MYA-4624 / DSM 980 / FGSC 10383)	1.14.99.54 1.14.99.56	15	None	16	240	CDD:cd21175	Fungal cellulose binding domain [PFAM:PF00734] (276-303)	True	H	Success_Characterized	B2ADG1		B2ADG1	
B2ATL7	AA9	IPR000254; IPR005103; IPR035971; IPR049892; PF00734; cd21175	AA9 family lytic polysaccharide monooxygenase E	Podospora anserina (strain S / ATCC MYA-4624 / DSM 980 / FGSC 10383)	1.14.99.54	19	None	20	220	CDD:cd21175	Fungal cellulose binding domain [PFAM:PF00734] (261-289)	True	H	Success_Characterized	B2ATL7		B2ATL7	
B2AVF1	AA9	IPR000254; IPR005103; IPR035971; IPR049892; PF00734; cd21175	AA9 family lytic polysaccharide monooxygenase B	Podospora anserina (strain S / ATCC MYA-4624 / DSM 980 / FGSC 10383)	1.14.99.56	19	None	20	240	CDD:cd21175	Fungal cellulose binding domain [PFAM:PF00734] (295-323)	True	H	Success_Characterized	B2AVF1		B2AVF1	
W4KMP1	AA9	IPR005103; IPR049892; cd21175	AA9 family lytic polysaccharide monooxygenase B	Heterobasidion irregulare (strain TC 32-1)	1.14.99.54	19	None	20	242	CDD:cd21175	None	True	H	Success_Characterized	W4KMP1		W4KMP1	
A0A0H4K9X4	AA9	IPR005103; IPR049892; cd21175	AA9 family lytic polysaccharide monooxygenase A	Thermothelomyces thermophilus	1.14.99.54 1.14.99.56	17	None	18	223	CDD:cd21175	None	True	H	Success_Characterized	A0A0H4K9X4		A0A0H4K9X4	
A0A1C9ZP88	AA9	IPR005103; IPR049892; cd21175	AA9 family lytic polysaccharide monooxygenase A	Gloeophyllum trabeum	1.14.99.54 1.14.99.56	0	None	1	230	CDD:cd21175	None	True	H	Success_Characterized	A0A1C9ZP88		A0A1C9ZP88	
B2B403	AA9	IPR005103; IPR049892; cd21175	AA9 family lytic polysaccharide monooxygenase F	Podospora anserina (strain S / ATCC MYA-4624 / DSM 980 / FGSC 10383)	1.14.99.54	16	None	17	251	CDD:cd21175	None	True	H	Success_Characterized	B2B403		B2B403	
A0A6C0PI79	AA9	IPR000254; IPR005103; IPR035971; IPR049892; PF00734; cd21175	AA9 family lytic polysaccharide monooxygenase	Ceriporiopsis subvermispora	1.14.99.54	20	None	21	245	CDD:cd21175	Fungal cellulose binding domain [PFAM:PF00734] (288-316)	True	H	Success_Characterized	A0A6C0PI79	M2QX02	A0A6C0PI79	M2QX02
M2QX02	AA9	IPR000254; IPR005103; IPR035971; IPR049892; PF00734; cd21175	AA9 family lytic polysaccharide monooxygenase	Ceriporiopsis subvermispora (strain B)	1.14.99.54	20	None	21	245	CDD:cd21175	Fungal cellulose binding domain [PFAM:PF00734] (288-316)	True	H	Success_Characterized	A0A6C0PI79	A0A6C0PI79	A0A6C0PI79	A0A6C0PI79
M2QEW2	AA9	IPR000254; IPR005103; IPR035971; IPR049892; PF00734; cd21175	AA9 family lytic polysaccharide monooxygenase	Ceriporiopsis subvermispora (strain B)	1.14.99.54	17	None	18	234	CDD:cd21175|original:20-234	Fungal cellulose binding domain [PFAM:PF00734] (311-339)	True	H	Success_Characterized	M2QEW2		M2QEW2	
A0A167KNY8	AA9	IPR005103; IPR049892; cd21175	lytic cellulose monooxygenase (C4-dehydrogenating)	Pestalotiopsis sp. NCi6	1.14.99.56	0	None	1	218	CDD:cd21175	None	True	H	Success_Characterized	A0A167KNY8		A0A167KNY8	
A0A3S4B613	AA9	IPR000254; IPR005103; IPR035971; IPR049892; PF00734; cd21175	lytic cellulose monooxygenase (C4-dehydrogenating)	Thermothielavioides terrestris	1.14.99.54	19	None	20	240	CDD:cd21175	Fungal cellulose binding domain [PFAM:PF00734] (291-319)	True	H	Success_Characterized	A0A3S4B613		A0A3S4B613	
A0A8F2JFW3	AA9	IPR005103; IPR049892; cd21175	lytic cellulose monooxygenase (C4-dehydrogenating)	Sordaria brevicollis	1.14.99.54	17	None	18	235	CDD:cd21175	None	True	H	Success_Characterized	A0A8F2JFW3		A0A8F2JFW3	
D0VWZ9	AA9	IPR005103; IPR049892; cd21175	lytic cellulose monooxygenase (C4-dehydrogenating)	Thermothielavioides terrestris	1.14.99.54	0	None	1	206	CDD:cd21175	None	True	H	Success_Characterized	D0VWZ9		A0A446BDM9	A0A446BDM9;G2RGE5
G2QI82	AA9	IPR005103; IPR049892; cd21175	lytic cellulose monooxygenase (C4-dehydrogenating)	Thermothelomyces thermophilus (strain ATCC 42464 / BCRC 31852 / DSM 1799)	1.14.99.54	17	None	18	229	CDD:cd21175	None	True	H	Success_Characterized	G2QI82		G2QI82	
M2RAI8	AA9	IPR005103; IPR049892; cd21175	lytic cellulose monooxygenase (C4-dehydrogenating)	Ceriporiopsis subvermispora (strain B)	1.14.99.54	18	None	19	233	CDD:cd21175	None	True	H	Success_Characterized	M2RAI8		M2RAI8	
A0A446BDM8	AA9	IPR005103; IPR049892; cd21175	lytic cellulose monooxygenase (C4-dehydrogenating)	Thermothielavioides terrestris	1.14.99.54 1.14.99.56	16	None	17	228	CDD:cd21175	None	True	H	Success_Characterized	A0A446BDM8		A0A446BDM8	
Q7S111	AA9	IPR000254; IPR005103; IPR035971; IPR049892; PF00734; cd21175	lytic cellulose monooxygenase (C4-dehydrogenating)	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	1.14.99.54 1.14.99.56	18	None	19	240	CDD:cd21175	Fungal cellulose binding domain [PFAM:PF00734] (337-365)	True	H	Success_Characterized	Q7S111		Q7S111	
Q7SA19	AA9	IPR005103; IPR049892; cd21175	lytic cellulose monooxygenase (C4-dehydrogenating)	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	1.14.99.54 1.14.99.56	16	None	17	236	CDD:cd21175	None	True	H	Success_Characterized	Q7SA19		Q7SA19	
G2Q7A5	AA9	IPR005103; IPR049892; cd21175	lytic cellulose monooxygenase (C4-dehydrogenating)	Thermothelomyces thermophilus (strain ATCC 42464 / BCRC 31852 / DSM 1799)	1.14.99.56	17	None	18	244	CDD:cd21175	None	True	H	Success_Characterized	G2Q7A5		G2Q7A5	
Q7SCJ5	AA9	IPR000254; IPR005103; IPR035971; IPR049892; PF00734; cd21175	lytic cellulose monooxygenase (C4-dehydrogenating)	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	1.14.99.54	18	None	19	218	CDD:cd21175	Fungal cellulose binding domain [PFAM:PF00734] (294-322)	True	H	Success_Characterized	Q7SCJ5		Q7SCJ5	
A0A167KNZ4	AA9	IPR005103; IPR049892; cd21175	lytic cellulose monooxygenase (C4-dehydrogenating)	Pestalotiopsis sp. NCi6	1.14.99.54 1.14.99.56	0	None	1	210	CDD:cd21175	None	True	H	Success_Characterized	A0A167KNZ4		A0A167KNZ4	
A0A3S4ATQ2	AA9	IPR005103; IPR049892; cd21175	lytic cellulose monooxygenase (C4-dehydrogenating)	Thermothielavioides terrestris	1.14.99.56 1.14.99.-	17	None	18	230	CDD:cd21175	None	True	H	Success_Characterized	A0A3S4ATQ2		A0A3S4ATQ2	
A0A446B9M7	AA9	IPR000254; IPR005103; IPR035971; IPR049892; PF00734; cd21175	lytic cellulose monooxygenase (C4-dehydrogenating)	Thermothielavioides terrestris	1.14.99.54	19	None	20	223	CDD:cd21175	Fungal cellulose binding domain [PFAM:PF00734] (272-300)	True	H	Success_Characterized	A0A446B9M7		A0A446B9M7	
A0A446BDM9	AA9	IPR005103; IPR049892; cd21175	lytic cellulose monooxygenase (C4-dehydrogenating)	Thermothielavioides terrestris	1.14.99.54 1.14.99.-	18	None	19	224	CDD:cd21175	None	True	H	Success_Characterized	A0A446BDM9	G2RGE5	A0A446BDM9	G2RGE5;D0VWZ9
G2RGE5	AA9	IPR005103; IPR049892; cd21175	AA9 family lytic polysaccharide monooxygenase E	Thermothielavioides terrestris (strain ATCC 38088 / NRRL 8126)	1.14.99.54	18	None	19	224	CDD:cd21175	None	True	H	Success_Characterized	A0A446BDM9	A0A446BDM9	A0A446BDM9	A0A446BDM9;D0VWZ9
A0A8F2FAB6	AA9	IPR000254; IPR005103; IPR035971; IPR049892; PF00734; cd21175	lytic cellulose monooxygenase (C4-dehydrogenating)	Sordaria brevicollis	1.14.99.54	20	None	21	242	CDD:cd21175	Fungal cellulose binding domain [PFAM:PF00734] (303-331)	True	H	Success_Characterized	A0A8F2FAB6		A0A8F2FAB6	
G2Q9F7	AA9	IPR000254; IPR005103; IPR035971; IPR049892; PF00734; cd21175	lytic cellulose monooxygenase (C4-dehydrogenating)	Thermothelomyces thermophilus (strain ATCC 42464 / BCRC 31852 / DSM 1799)	1.14.99.56	0	None	16	241	CDD:cd21175	Fungal cellulose binding domain [PFAM:PF00734] (274-301)	True	H	Success_Characterized	G2Q9F7		G2Q9F7	
G0R6T8	AA9	IPR000254; IPR005103; IPR035971; IPR049892; PF00734; cd21175	AA9 family lytic polysaccharide monooxygenase cel61A	Hypocrea jecorina (strain QM6a)	1.14.99.54 1.14.99.56	21	None	22	245	CDD:cd21175	Fungal cellulose binding domain [PFAM:PF00734] (311-339)	True	H	Success_Characterized	G0R6T8	O14405	G0R6T8	O14405
O14405	AA9	IPR000254; IPR005103; IPR035971; IPR049892; PF00734; cd21175	AA9 family lytic polysaccharide monooxygenase cel61A	Hypocrea jecorina	1.14.99.54 1.14.99.56	21	None	22	245	CDD:cd21175	Fungal cellulose binding domain [PFAM:PF00734] (311-339)	True	H	Success_Characterized	G0R6T8	G0R6T8	G0R6T8	G0R6T8
Q9F9Q5	AA10	IPR004302; IPR014756; IPR051024; PF03067	Unknown	Bacillus amyloliquefaciens	1.14.99.53	0	None	28	202	PFAM:PF03067	None	True	H	Success	Q9F9Q5		A0A9P1NI18	A0A9P1NI18
Q9RDB8	AA10	IPR004302; IPR014756; IPR051024; PF03067	Unknown	Streptomyces coelicolor (strain ATCC BAA-471 / A3(2) / M145)	1.14.99.53	29	None	30	199	PFAM:PF03067	None	True	H	Success	Q9RDB8		A0A7U9DRA2	A0A7U9DRA2
A0A6I7U4Z8	AA10	IPR004302; IPR014756; IPR051024; PF03067	Unknown	Bacillus paralicheniformis	1.14.99.53 1.14.99.54	0	None	32	198	PFAM:PF03067	None	True	H	Success	A0A6I7U4Z8		A0A6I7U4Z8	
A0A1C6SBM0	AA10	IPR003610; IPR004302; IPR014756; IPR036573; IPR051024; PF03067; cd12214	Unknown	Micromonospora aurantiaca	1.14.99.53	27	None	28	166	PFAM:PF03067	chitin-binding domain of Chi A1-like proteins [CDD:cd12214] (205-247)	True	H	Success	A0A1C6SBM0		A0A1C6SBM0	
Q81CE4	AA10	IPR004302; IPR014756; IPR051024; PF03067	Unknown	Bacillus cereus (strain ATCC 14579 / DSM 31 / CCUG 7414 / JCM 2152 / NBRC 15305 / NCIMB 9373 / NCTC 2599 / NRRL B-3711)	1.14.99.53	0	None	35	198	PFAM:PF03067	None	True	H	Success	Q81CE4		A0A0C5K362	A0A0C5K362
Q4WEH3	AA11	None	AA11 family lytic polysaccharide monooxygenase B	Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293)	1.14.99.53	21	None	22	418	Inferred:H1_verification	None	True	H	Success	Q4WEH3		Q4WEH3	
